Title,Runtime,User Rating,Metascore,Votes,Imdb Gross,Genre
How to Train Your Dragon 2,102 min,7.8,77        ,318128,"177,002,924",Animation
Rise of the Planet of the Apes,105 min,7.5,68        ,509898,"176,760,185",Action
Captain America: The First Avenger,124 min,6.9,66        ,786534,"176,654,505",Action
The Karate Kid,140 min,6.2,61        ,171802,"176,591,618",Action
Ice Age,81 min,7.5,61        ,459153,"176,387,405",Animation
The Bourne Supremacy,108 min,7.7,73        ,447620,"176,241,941",Action
Get Out,104 min,7.7,85        ,534804,"176,040,665",Horror
The Lego Batman Movie,104 min,7.3,75        ,138756,"175,750,384",Animation
Us,116 min,6.8,81        ,259457,"175,084,580",Horror
The Boss Baby,97 min,6.3,50        ,117937,"175,003,033",Animation
Crazy Rich Asians,120 min,6.9,74        ,156912,"174,532,921",Comedy
The Greatest Showman,105 min,7.6,48        ,257936,"174,340,174",Biography
Fast & Furious Presents: Hobbs & Shaw,137 min,6.4,60        ,195462,"173,956,935",Action
Elf,97 min,7.0,64        ,239750,"173,398,518",Adventure
National Treasure,131 min,6.9,39        ,316590,"173,008,894",Action
Pirates of the Caribbean: Dead Men Tell No Tales,129 min,6.5,39        ,282493,"172,558,876",Action
TRON: Legacy,125 min,6.8,49        ,323914,"172,062,763",Action
Mary Poppins Returns,130 min,6.7,66        ,82339,"171,958,438",Comedy
True Grit,110 min,7.6,80        ,324551,"171,243,005",Drama
John Wick: Chapter 3 - Parabellum,130 min,7.4,73        ,308488,"171,015,687",Action
A Beautiful Mind,135 min,8.2,72        ,884789,"170,742,341",Biography
Chicago,113 min,7.2,81        ,222785,"170,687,518",Comedy
The Help,146 min,8.0,62        ,440706,"169,708,112",Drama            
Hotel Transylvania 2,89 min,6.7,44        ,116429,"169,700,110",Animation
Hidden Figures,127 min,7.8,74        ,213339,"169,607,287",Biography
Bridesmaids,125 min,6.8,75        ,280970,"169,106,725",Comedy
Quantum of Solace,106 min,6.6,58        ,427223,"168,368,427",Action
Wild Hogs,100 min,5.8,27        ,116403,"168,273,550",Action
Kong: Skull Island,118 min,6.6,62        ,300028,"168,052,812",Action
Gone Girl,149 min,8.1,79        ,914407,"167,767,189",Drama
